,reviews
20,"This is an unusually large advance over previous models, especially in raw computing power, but also in fun things like screen and headphone support.This Amazon listing has two different processors, the M1 Pro (listed as 16-Core GPU ""style"") and the M1 Max (32-Core GPU). I'll call one the Pro, the other the Max. I got the base Pro, but much of what I'll say applies to both, and I'll have some comments specifically about the Max too. (MBP below = MacBook Pro.)Amazon doesn't offer most of the options you can get, only the ones listed. For now (and probably later), that's the Pro with 16GB RAM and 512GB or 1TB SSD, or the Max with 32GB RAM and 1TB SSD. 3 versions total.Screen Brightness* and HappinessThis screen can get up to 1600 nits brightness and can sustain full-screen brightness up to 1000. That's very impressive, as MBPs since 2016 have topped out at 500.*But the vast majority of the time, this screen will also top out at 500, because those other numbers are only for HDR (high dynamic range, what Apple calls XDR), i.e. some videos and some photos viewed in some programs. If you're browsing the internet, using productivity apps, or the like, those are almost all SDR (standard dynamic range). You'll be seeing them at the same brightness as with MBPs for the last five years.That said, the new screen is beautiful and bright in both HDR and SDR for most situations. For HDR, it puts out more color and brightness, and darker blacks - a million-to-one contrast ratio - with a wider range of light and color that has more pop and more detail in shadows and highlights. It can be dazzling or just more realistic.For SDR, it's much like before, still a gorgeous screen, with better contrast than before because of darker blacks.Has more pixels per inch (254, up from 226), and more pixels all over (3456 by 2234, up from 3072 by 1920). The aspect ratio remains 16:10 (not counting the top menu bar).ProMotionProMotion is Apple's name for screen refresh rates that can go up to 120Hz, or lower to save processor/battery power when 120 isn't needed. This makes motion smoother, more natural.For now where ProMotion applies is limited. Most scrolling in browsing, including with Safari, still tops out at 60Hz. Which is fine for me, but it bothers some people, looks choppy to them. This could be changed with a software update.Bloom and GhostsBloom is when a bright spot on a dark background bleeds out past where it's supposed to be, a common issue with this kind of screen. I and most others think this screen handles it well (better than the iPad Pro), but it can still arise some.Ghosting is when a moving object leaves a noticeable trail of ghost images behind for a fraction of a second, one for each new frame until the old image fades. MBPs are notoriously mediocre at this kind of ghostbusting, and this screen is no exception. Expect the usual haunting, if you notice that kind of thing.PWMFor those concerned (you mostly know who you are), there is PWM (pulse-width modulation) on the smaller 14"" version of this screen, and so very likely on this one too, at a frequency of 14,880Hz at all brightness levels (measured by NotebookCheck). That's a very high frequency, considered well beyond what would cause trouble for the susceptible.The NotchAs you can see in the main photo here, there's a black Notch at the top of the screen. There are no pixels there. The long-desired improved camera is there, and a mic array and light sensor (and maybe room for a Face ID system if they decide to make MBPs with that). As with the iPhone Notch, it's controversial.You can make the Notch disappear, or rather blend in, if you make the background up there black. It also disappears into the black bars when you view things like videos in full-screen mode.The cursor disappears into the Notch if you put it there. If an app has menu items that stretch there, they disappear too, but they'll still function normally if you put the (invisible) cursor on them.Desperate times call for desperate measures. Most apps won't have this trouble, but if you must, you can avoid menu items disappearing by using the ""Scale to fit"" function, which shrinks the entire screen work area a little to fit below the Notch. Makes it look like an old 15"" if the background is black, like there are wide black bezels. (Google ""Scale to fit below built-in camera"" for full instructions and mockery.)There are also third-party apps, such as Bartender, to manage how items appear in the menu bar and keep them visible.Camera and MicsThe new camera that, along with the thinner bezels, makes the Notch necessary, is 1080p, with an f/2 lens for good exposure in the shadows. Video looks noticeably better than before, though it can have a processed look.The three mics sound very clean and natural but with a little less bass than before to my ears, which is fine.Extra ScreensYou can use two external monitors with the Pro, down from four with previous models. They can be up to 6K @60Hz with a billion colors. The Max can still use four: three 6K and one 4K, all @60Hz etc.You can use 4K @120/144Hz HDR monitors too.You can run two from one port if you use the right kind of dock or daisy-chain.Headphone OomphThe new headphone jack has more power for high-impedance headphones. It automatically adjusts, so it won't overwhelm low-impedance phones. If the headphones have less than 150 ohms impedance, they get 1.25 volts RMS. If more, 3 volts. That might cause it to fail to provide enough power to some not-so-high-impedance headphones that still require extra power, such as planars.With my 2016 15"" MBP, I've had to use a portable amp for my Beyerdynamic DT 1990 Pros (250 ohm), but now I can pretty well do without it, though sometimes only just. The volume on some sources is still not always what I wish I could make it. But now I can nearly achieve hearing loss with the intro to the guitar riff in ""Money for Nothing."" Which also sounds good, and healthier, a couple notches down.Among other headphones that have tested favorably with the new jack are the DT 990 Pros (250 ohm), and the Sennheiser HD650, 660S, 6XX, and HD800 (150 to 300 ohm).One report says the planar Hifiman HE4XXs (35 ohm planar) sound good, but most planars tested are said to need more power. The Audeze LCD-2Cs are reported to sound good enough, though not their best. The LCD-3s and Hifiman Sundaras and Aryas are said to be underpowered.For my usual regular-impedance phones, Cleer Flow IIs (16 ohm), the wired volume is a little louder than before, though still not always the earsplitting barrage I want for some sources. Maybe for the best.Quality iems (in-ear monitors) that require especially clean input, but not too much, reportedly sound good, including Andromedas and Moondrop Starfields.SpeakersThey're improved from the already laptop-leading speakers from earlier MBPs, with a fuller sound and decent kick, amazingly good for when nothing with a 3"" woofer is around.Apple mysteriously says the 14"" M1 has the same speaker system, but looking inside both machines shows the speakers in the 16"" are bigger - both ""subs"" and tweeters - and located differently, with the subs in the front corners on this one. The 16"" has fuller bass (such as it is).Heat and NoiseThere isn't any.None with my typical use, at least. If you push it hard, it can get warm, but not as hot as my 2016 15"". Which makes sense, as this has a larger enclosure, bigger fans, larger, better heat sinks, and more power-efficient processors. The fans don't have to spin up as much to do the same amount of cooling, so it's noticeably quieter even when it does heat up, rarely makes any noise at all.The 16"" Max comes with a larger heat sink than the 16"" Pro, so likely runs a little cooler and quieter sometimes, though the Max might get hotter when it uses a lot of that extra power.KeyboardVery quiet, much like the older Mac laptop keyboards, not the butterfly ones from 2015-19, but the rest. Maybe less travel in the keys than some of those, but plenty for me.I miss the touch bar sliders for fine control of some functions, but you can still use sliders via the Control Center, the icon next to the date on the screen's top menu bar. That's also where control of the keyboard backlight is, no more control for it on the keyboard.TouchpadThe best available by far, responsive and large so you can carry the cursor over a large area with more control. For clicks, it's great. For taps, which I turn off, it's not as great, according to those who prefer that - appears to be a software issue.PortsThere's one less Thunderbolt/USB-C port than before, but 50% more bandwidth (3 controllers instead of 2).The HDMI is 2.0, can drive up to 4K HDR @60Hz.The SD card reader is shallow, so the cards stick out. There might be room for a flush micro-SD adapter. I only have cards up to 64GB, which work fine. Some people have had trouble reading some cards, so it may be finicky.Battery LifeI usually keep plugged in, but the reviews I've seen that cover battery life tests typically say it's the longest of any similar machine they've tested, including PCs. Reports of battery life for office work, browsing, watching videos, and so on generally range from 10 to 16 hours, sometimes more. It can go unusually long with heavy use too, 5 hours or more of video work, for example. Max Tech did 10 benchmark and stress tests with it in a couple hours, some maxing out the CPU or GPU for up to ten minutes, and it still had 36% left.At normal settings, there's no performance hit until you get down to 3%; until then you can process or game at full tilt. There's a low-power mode that extends battery life by limiting performance, lowering screen brightness, etc. The Max also has a high-power mode, but it seems to only ramp up the fans sooner to help cooling. Apple's description and tests in reviews indicate it doesn't affect performance in any direct way.The Max has tended to have a little less battery life than the Pro in reviews. The only good tests I've seen that compared directly either found negligible differences or up to 15% less battery life for the Max. (Other tests haven't been well controlled.)You can quick charge to 50% in a half-hour. The new power brick is 45% more powerful than before, and maybe 30% larger lengthwise, still small for what it does. You can charge at lower speed with smaller bricks (not included) via the USB-C ports.Size and WeightIt's noticeably heavier than before, about 5 ounces over the previous 16"", and not quite as sleek, but it's sleeker than I was expecting from the photos.RepairabilityHa ha! But really, it's better than it was. Battery modules now have pull tabs so they can be more easily replaced. The screen can be replaced more easily, but if Apple doesn't do it you lose True Tone (which I don't want anyway). The headphone, Thunderbolt and MagSafe ports can be replaced without replacing the logic board. Now rates a 4/10 from iFixit for repairability, up from 1/10 for the previous model.CompatibilityComes with Rosetta 2, which enables M1 Macs to use programs written for Intel Macs, and usually works very well.There's no more Boot Camp, so to run Windows or Windows programs you have to use third-party software like Parallels, which runs Windows by emulating a Windows machine (and requires a Windows license), or Crossover, which modifies Windows programs to run on Macs.  Which works best, or at all, depends on the program.GamingWoW *mostly* runs 50 to 120fps at high settings and resolution, depending on the location. Some places can't even manage 50 at those settings, though, but do OK at more compromised settings. Baldur's Gate 3, Diablo III, CS:GO and several others can run at 60-100fps or better at good settings.You can play Windows games via Parallels or Crossover. They generally don't run as well, but some do fine.Most games, including native ones, run quite a bit better on the Max, with up to 2x the fps. Final Fantasy XIV is hit and miss at good settings even with the Max.Gaming isn't usually hot or noisy, can get warmer with light fans for the games that aren't running natively. And there's no noticeable performance hit for gaming on battery.WorkI have to mention the less fun part: how well this does things you might have to do at work. It does almost all of it better than before, much of it way better. Here's how it compares according to actual test results from numerous sources with Xcode, Logic Pro, Lightroom, Blender, Final Cut Pro, Premiere Pro, and so on. The range of comparison depends on what the task is.Previous base MBP 16"" (Intel i7 AMD 5300): The Pro is 60% to several times faster.Previous top-spec'd MBP (i9 5600M): The Pro is about the same to 2 or 3 times faster.Regular M1 machines (not M1 Pro or Max): The Pro is about the same to several times faster.The 14"" M1 Pro with same specs: The same, though the 16"" has the bigger battery and heat removal system, so it fares better in those ways.Windows laptop work stations: This is complicated, but the Pro can thrash most Windows laptops in most intensive work-related apps. It lines up very roughly with machines with a good i7/i9 and an RTX 3070, but generally can't keep up with the RTX 3080. The Pro uses a fraction of the power, and so only produces a fraction of the heat and noise, if any. And lasts and performs much better on battery.Pro vs MaxThe Max is about the same to twice as fast as the Pro, mostly between those extremes. The CPU is much the same, but the GPU is double the cores, so the main advantage is in graphics-heavy work.Besides the GPU cores, the Max has twice the bandwidth for memory transfer, two hardware video encode engines instead of one, and some extra cooling capacity.If you're already successfully using a Mac laptop, you don't *need* the Max, since the Pro is already better than what you have. But that doesn't mean you can't benefit from the Max's extra power if you have the money. For intensive video editing, massive photo editing, or better gaming (though cheaper Windows machines will play most games better), the Max has real advantages.To confuse things a little more, Apple (but not Amazon currently) also offers a demi-Max with a 24-core GPU, halfway between the Pro's 16 and the Max's 32. It's a cheaper way to get the extra bandwidth, video encoder, and cooling advantages of the Max. Tests show that in graphics-intensive tasks it operates roughly midway between the Pro and 32-core Max, often more than half, as expected.WarrantiesThis comes with a one-year limited warranty against manufacturing defects that includes free phone support for the first 90 days. If you want to also cover accidental damage (with deductibles) and extend the regular warranty and free tech support to 3 years, you can buy 

AppleCare+ from Amazon

   (link embedded) or Apple. You get 60 days from purchase to buy it, but coverage for accidents doesn't start until you do. (I always self-insure when I can, so I didn't get it.)DecalsLast and least, this comes with two black Apple decals, the sign of true professional Apple equipment."
21,Out of the box unusable for me. This MacBook Pro does not have any USB ports to be able to restore from a previous Mac back up that’s on an external drive. You must buy an adapter. Since I live in a remote area I’d have to order online and wait. You cannot even plug a iPhone12 Pro Max directly into it. The only ports it has are thunderbolt. So even Apple’s own lighting connector needs an adapter. The keyboard is a downgrade from the old keyboard. Solid black plastic instead of plastic keys surrounded by aluminum which were easier to see. Had to call Apple support to download an update because there is no reset option in the System Preferences of OS Monterey. And the update did not work to give it that option. Will have to figure out a different option to remove my account and information to return it. This particular MacBook is defective I believe.
22,I ordered the 2021 16 inch right away as I knew they would probably sell out fast. I had to make sure I had one for my trip I am leaving on soon.  As soon as I opened it the screen would never come on.  Thought maybe it needed charging so I tried that.  Still nothing but a black screen.  It kept making the sound when you open it up even when it was closed over and over again.  I took it to the local Apple Store hoping I could get some answers.  They tired to get it to work and could not either.  They said it is very strange and maybe something happened to it during shipping.  They said since it is brand new it would be best to get my money back from Amazon.  I thought maybe I could just exchange it before my trip but the one I ordered is out of stock.  I will try the 14 inch and see if I like it compared to the size of the 16 inch since it is in stock.  This is a first MacBook Pro I have ever purchased and now I am a bit nervous.
23,"Here are the temperature results for the new cool MacBooks compared to the old overheating intel ones. 91 degrees for the old one near the processor, and 74 degrees on the new ones. Both had been running for hours transferring files nonstop. Amazing. I have been editing video, transferring large files and not once have the fans kicked on. Makes me want to cry."
24,"Finally, this 2021 MacBook Pro cured my depression!"
25,Arrived DOA - wouldn’t start up. Spent hours on the phone with Apple support and still wouldn’t start. Returned - c’mon man!
26,"This laptop is unbelievably fast. Between the screen, battery life, and performance, this laptop is head and shoulders better than any competition."
27,My first ever MacBook. Switched over from PC and I can't believe I didn't switch sooner! On the pricer side but I'm super happy with my purchase!
28,"I have been using my MacBook Pro from 2014 for work until last week when I finally purchased this MacBook Pro. My old MacBook starts up and works as fast as the day I bought it. The only reason I bought a new MacBook was because the battery life was getting low. I probably could have just bought a new battery and it would have been fine.That being said, I did hold out for this MacBook because Apple brought back the ports that I needed. I use the HDMI and SD ports daily. An Ethernet port would have been nice but that’s asking too much. This MacBook has a 2 day battery life and is blazing fast. I use Adobe programs and this MacBook doesn’t even blink when I do live editing. Best laptop I have ever used.I own a business that uses many PC laptops and a couple MacBooks. A PC will never last as long as a MacBook. And, a PC ALWAYS gets slower after 6 months of use. The price is high but you can buy a new PC every 2 years or a MacBook every 7 years."
29,"Coming from a 2019 16in, I feel that this generation is 2 steps forwards, 1 step back.Pros:-Fans are never audible even under full extended load!  This was my #1 issue with my 2019 mac which would have constant fan noise with 2 monitors.-2x battery life-Better screen especially in dark environment or a dark subject-Extremely fast for certain workloads such as video editing and code compilation.-magsafe is back (although I personally don't care for it)-most apps work normally with rosetta emulation, but may have some stutter.Cons:-thicker and SIGNIFICANTLY heavier.-Screen has a notch which is very distracting for me.-Still has some compatibility issues.-Terrible for games.  Only a few titles are supported natively.  I only tested league of legends(uses rosetta emulator), but it was choppy and 1/3 the fps of my 2019 intel macbook.- +$300 base price even though they got rid of intel.-The area I feel apple has made a major misstep is with ports.  I couldn't care less for SD card or HDMI, but everyone who buys this is going to need USB-A.  It's ridiculous that I still have to bring a dongle everywhere just to use my mouse but these ports I never/rarely use are back.Also some developer related tools/libraries aren't working.C# debugger is totally unsupported for example.  Anything that requires gpu hardware acceleration (pytorch) is unlikely to ever be supported in any usable form.  Linux dual boot is unsupported or in early experimental stages.  I also had issues building/running java projects natively, but no issues with rosetta.If you're looking to buy this for an undergrad program, it's probably workable.  However, I'd suggest saving some $ and getting a used mac or windows machine.  Professional devs will be aware of their specific requirements, but I suspect many will need to keep a secondary x86 machine for the foreseeable future."
